Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,Lead Quality,Asymmetrique Activity Score,Asymmetrique Profile Score,Last Notable Activity,Converted,Prob_Score
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,15,Modified,0,46.45692202
API,Organic Search,No,No,5,674,2.5,Unemployed,Unkown,15,15,Email Opened,0,41.35600921
Landing Page Submission,Direct Traffic,No,No,2,1532,2,Student,Might be,14,20,Email Opened,1,91.46618248
Landing Page Submission,Direct Traffic,No,No,1,305,1,Unemployed,Not Sure,13,17,Modified,0,2.954243706
Landing Page Submission,Google,No,No,2,1428,1,Unemployed,Might be,15,18,Modified,1,80.5538273
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Google,No,No,2,1640,2,Unemployed,Low in Relevance,14,20,Modified,1,86.06559391
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
Landing Page Submission,Direct Traffic,No,No,2,71,2,Unknown,Unkown,14,14,Email Opened,0,4.62052688
API,Google,No,No,4,58,4,Unknown,Unkown,13,16,Email Opened,0,9.156855177
Landing Page Submission,Organic Search,No,No,8,1351,8,Unemployed,Might be,15,14,Email Opened,1,84.82968482
Landing Page Submission,Direct Traffic,No,No,8,1343,2.67,Unemployed,Unkown,14,17,Page Visited on Website,1,42.86551408
API,Organic Search,No,No,11,1538,11,Unemployed,Might be,16,16,Modified,1,81.98408582
Landing Page Submission,Organic Search,No,No,5,170,5,Unemployed,Unkown,14,17,Email Opened,0,9.998357849
Landing Page Submission,Direct Traffic,Yes,No,1,481,1,Unemployed,Unkown,16,17,Email Bounced,0,9.535298936
API,Organic Search,No,No,6,1012,6,Unemployed,Might be,14,15,Email Opened,1,85.46958029
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Referral Sites,No,No,6,973,6,Unemployed,Might be,13,13,Modified,0,71.02890666
Landing Page Submission,Google,No,No,6,1688,3,Unemployed,Unkown,15,18,Page Visited on Website,1,67.73967232
API,Organic Search,No,No,3,98,3,Unemployed,Worst,14,15,Modified,0,6.002709337
Landing Page Submission,Google,No,No,1,233,1,Unemployed,Not Sure,13,17,Modified,0,3.881127447
API,Google,No,No,4,377,1.33,Unemployed,Worst,15,16,Modified,0,11.67071036
Landing Page Submission,Google,No,No,1,1013,1,Unemployed,Low in Relevance,15,20,Modified,1,69.44013871
Landing Page Submission,Google,No,No,4,771,4,Unemployed,Not Sure,14,18,Email Link Clicked,0,18.91596232
API,Google,No,No,6,1137,1.5,Unemployed,High in Relevance,14,18,Email Opened,1,82.69397205
Landing Page Submission,Google,No,No,3,1068,3,Unemployed,Not Sure,14,16,Modified,1,14.64579875
Landing Page Submission,Organic Search,No,No,4,1000,2,Unemployed,Low in Relevance,11,18,Email Opened,1,81.43677116
Landing Page Submission,Google,No,No,6,1315,6,Unemployed,High in Relevance,15,19,Email Opened,1,71.33254473
Landing Page Submission,Direct Traffic,No,No,5,182,5,Student,Unkown,13,18,Email Opened,0,9.345476114
API,Google,No,No,3,78,3,Unemployed,High in Relevance,16,18,Unreachable,1,43.37764792
Landing Page Submission,Direct Traffic,No,No,7,1174,3.5,Unemployed,Might be,15,18,Email Opened,1,79.22757794
API,Google,No,No,3,88,1.5,Unemployed,Not Sure,13,15,Modified,0,5.359719876
API,Referral Sites,No,No,4,223,2,Unemployed,Low in Relevance,15,13,Modified,0,55.36284245
API,Organic Search,No,No,3,74,1.5,Unknown,Unkown,12,15,Modified,0,4.66348223
Landing Page Submission,Organic Search,No,No,4,16,2,Unemployed,Might be,15,17,Modified,1,23.39690729
API,Referral Sites,No,No,3,98,3,Unemployed,High in Relevance,14,15,Modified,1,22.37849728
Landing Page Submission,Google,No,No,4,1622,4,Unemployed,Might be,12,18,Modified,0,78.88885797
Landing Page Submission,Google,No,No,5,563,5,Working Professional,Low in Relevance,13,20,Email Opened,1,89.64467765
API,Google,No,No,2,310,2,Unemployed,Not Sure,14,15,Email Link Clicked,0,18.02796019
Landing Page Submission,Google,No,No,4,25,4,Unemployed,High in Relevance,14,19,Email Opened,1,20.50021635
API,Direct Traffic,No,No,3,342,3,Unemployed,Unkown,14,15,Email Opened,0,17.55353226
Landing Page Submission,Organic Search,Yes,No,7,38,7,Unemployed,Not Sure,13,18,Unsubscribed,0,2.508947893
API,Google,No,No,5,199,5,Unemployed,Unkown,14,15,Email Opened,0,17.47490458
Landing Page Submission,Google,No,No,5,222,5,Unknown,Unkown,13,18,Email Opened,0,6.369215679
Landing Page Submission,Direct Traffic,No,No,6,275,3,Unemployed,Unkown,10,18,Email Opened,0,7.548730905
Landing Page Submission,Google,No,No,4,287,2,Unemployed,Might be,13,18,Email Opened,0,52.17415483
Landing Page Submission,Direct Traffic,No,No,2,547,2,Unemployed,High in Relevance,15,20,Email Opened,0,35.39691113
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Google,No,No,6,1225,6,Unemployed,Worst,12,15,Modified,0,25.27076577
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,16,Modified,1,46.16871968
Landing Page Submission,Google,No,No,5,160,5,Unemployed,Unkown,17,18,Email Opened,0,11.42535545
Landing Page Submission,Organic Search,No,No,6,394,2,Unemployed,Might be,13,15,Modified,0,36.18228541
API,Google,No,No,6,286,1.5,Unknown,Unkown,16,15,Modified,0,8.899338843
API,Organic Search,No,No,7,96,2.33,Unknown,Unkown,13,15,Email Opened,0,12.24296513
API,Organic Search,No,No,2,12,2,Unemployed,Unkown,15,15,Email Opened,0,17.25027181
Landing Page Submission,Referral Sites,No,No,13,436,13,Unemployed,Low in Relevance,15,13,Modified,1,29.01991612
API,Referral Sites,No,No,8,903,8,Unemployed,High in Relevance,16,15,Page Visited on Website,1,69.56587326
Landing Page Submission,Organic Search,No,No,17,409,8.5,Unemployed,Unkown,14,18,Modified,0,5.57073511
Landing Page Submission,Referral Sites,No,No,11,685,5.5,Unemployed,Not Sure,11,13,Email Opened,0,17.24601552
API,Google,No,No,4,213,4,Unemployed,Not Sure,13,16,Modified,0,5.310765826
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Email Opened,0,20.43038243
API,Organic Search,No,No,7,1468,3.5,Unemployed,High in Relevance,15,18,Modified,1,75.68291879
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
Landing Page Submission,Direct Traffic,No,No,4,1435,4,Working Professional,Might be,12,18,Email Opened,1,95.9799897
Landing Page Submission,Google,No,No,1,157,1,Unemployed,Might be,15,14,Modified,1,29.42354541
API,Google,No,No,3,885,1.5,Unemployed,High in Relevance,15,18,Had a Phone Conversation,1,77.61255514
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,16,Modified,1,46.16871968
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,12,14,Modified,0,41.78678438
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
Landing Page Submission,Direct Traffic,No,No,1,1710,1,Unemployed,Worst,16,19,Modified,0,35.77029162
Landing Page Submission,Direct Traffic,No,No,4,219,4,Unemployed,Unkown,13,18,Email Opened,0,7.287119289
Landing Page Submission,Referral Sites,Yes,No,3,111,3,Unemployed,Not Sure,13,15,Modified,0,1.764378976
API,Organic Search,No,No,6,224,6,Unemployed,Not Sure,14,15,Modified,0,5.125350503
Landing Page Submission,Direct Traffic,No,No,5,224,1.67,Unknown,Unkown,13,17,Page Visited on Website,0,5.497749485
Landing Page Submission,Direct Traffic,No,No,2,1071,2,Unemployed,Not Sure,12,17,Email Opened,1,21.54126565
Landing Page Submission,Google,No,No,6,595,3,Working Professional,Low in Relevance,14,20,Email Opened,1,92.41325348
Lead Add Form,Welingak Website,No,No,3,1096,2,Unemployed,Unkown,14,15,Modified,1,84.95104219
API,Referral Sites,No,No,4,520,4,Unemployed,Unkown,10,15,Email Opened,0,27.93859687
Lead Add Form,Reference,No,No,3,705,2,Working Professional,Low in Relevance,14,16,Modified,1,99.39613576
API,Google,No,No,2,393,2,Unemployed,Not Sure,14,14,Email Opened,0,20.45369181
Lead Add Form,Welingak Website,No,No,3,346,2,Unemployed,Unkown,14,15,Modified,1,58.90013021
API,Olark Chat,No,No,0,0,0,Working Professional,Might be,15,16,Email Link Clicked,1,90.58052417
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Google,No,No,3,1136,3,Unemployed,Might be,16,15,Modified,1,69.25223974
API,Referral Sites,No,No,3,335,3,Unemployed,Unkown,14,13,Modified,0,13.46459472
API,Referral Sites,No,No,4,75,4,Unemployed,Unkown,14,13,Email Opened,0,18.70143804
Landing Page Submission,Direct Traffic,No,No,6,97,3,Unknown,Unkown,15,18,Email Opened,0,4.831995172
Lead Add Form,Reference,No,No,3,1007,2,Unemployed,High in Relevance,14,20,Modified,1,94.88848169
Landing Page Submission,Organic Search,No,No,2,1085,2,Unemployed,Unkown,13,14,Modified,0,22.00746608
API,Organic Search,No,No,3,214,3,Unemployed,Unkown,15,15,Modified,0,9.769390074
API,Olark Chat,No,No,6,1158,1.5,Unemployed,Unkown,15,14,Email Opened,1,69.08042509
Landing Page Submission,Google,No,No,4,101,4,Unknown,Unkown,15,18,Email Opened,0,6.321688477
Landing Page Submission,Google,No,No,9,838,4.5,Unknown,Unkown,13,15,Email Opened,0,19.76818623
Landing Page Submission,Direct Traffic,No,No,3,536,3,Unemployed,Not Sure,9,18,Modified,0,2.909554312
Landing Page Submission,Direct Traffic,No,No,4,161,2,Unemployed,Not Sure,12,17,Unreachable,0,6.059645795
Landing Page Submission,Google,No,No,2,511,2,Unemployed,Unkown,9,15,Modified,0,6.810613372
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
API,Google,No,No,5,1110,5,Working Professional,Might be,16,16,Modified,1,94.53543615
Landing Page Submission,Direct Traffic,No,No,5,1563,5,Unemployed,High in Relevance,15,20,Email Opened,1,73.46414945
API,Referral Sites,No,No,7,1633,3.5,Unemployed,Unkown,14,13,Modified,0,63.18258481
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,1,9.640328329
Landing Page Submission,Google,No,No,12,809,4,Unknown,Unkown,13,18,Modified,0,8.891804328
Landing Page Submission,Direct Traffic,No,No,2,638,2,Unemployed,Unkown,14,15,Modified,0,7.850563911
API,Google,No,No,5,1196,5,Unemployed,Unkown,15,15,Modified,1,35.24813304
Landing Page Submission,Organic Search,No,No,6,1485,6,Unemployed,Unkown,14,16,Email Opened,0,53.46462033
API,Google,No,No,9,125,3,Unknown,Unkown,14,15,Modified,0,5.498803958
API,Google,No,No,3,165,3,Unemployed,Unkown,15,15,Modified,1,8.829945024
Landing Page Submission,Google,No,No,6,398,3,Unknown,Unkown,15,15,Olark Chat Conversation,0,10.74623709
API,Organic Search,No,No,3,570,3,Unknown,Unkown,13,15,Modified,0,10.05186584
Landing Page Submission,Organic Search,No,No,6,895,6,Unemployed,Might be,14,18,Email Opened,1,71.75828706
Landing Page Submission,Google,No,No,4,1190,4,Unemployed,Might be,13,18,Email Opened,1,82.35993622
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,14,19,Email Link Clicked,1,97.91333518
API,Direct Traffic,No,No,5,1566,5,Unemployed,Unkown,11,15,Modified,0,35.11174405
API,Google,No,No,5,727,5,Unemployed,High in Relevance,14,15,Email Opened,1,61.91491538
Landing Page Submission,Google,No,No,8,652,4,Unemployed,Unkown,13,15,Modified,0,10.23629765
API,Organic Search,No,No,4,1248,1.33,Unknown,Unkown,13,15,Email Opened,0,54.40467578
API,Google,No,No,2,767,2,Unemployed,Worst,15,14,Modified,0,19.90301463
API,Referral Sites,No,No,10,275,3.33,Unemployed,Unkown,15,13,Page Visited on Website,0,28.08192993
API,Organic Search,No,No,3,273,3,Unemployed,Unkown,14,15,Modified,0,10.13492062
Lead Add Form,Reference,No,No,3,1111,2,Working Professional,Low in Relevance,14,18,Modified,1,99.70484409
Landing Page Submission,Google,No,No,8,277,4,Unknown,Unkown,14,18,Email Opened,0,8.594980093
API,Organic Search,No,No,3,1207,1.5,Unemployed,Unkown,16,15,Modified,1,45.17920012
API,Google,No,No,2,39,1,Unknown,Unkown,16,15,Modified,0,5.70325999
Landing Page Submission,Google,No,No,4,1638,4,Unemployed,Not Sure,12,18,Email Opened,0,49.70439662
API,Referral Sites,No,No,16,53,16,Unknown,Unkown,15,13,Modified,0,2.141933414
Landing Page Submission,Direct Traffic,No,No,1,127,1,Unemployed,Unkown,16,18,Modified,0,3.847618976
Landing Page Submission,Organic Search,Yes,No,5,100,5,Unemployed,Unkown,15,18,Modified,0,2.034136199
Landing Page Submission,Google,Yes,No,4,323,4,Unknown,Unkown,13,18,Unsubscribed,0,4.745487789
API,Google,No,No,2,160,1,Unemployed,Unkown,16,15,Modified,1,10.91700832
Lead Add Form,Reference,No,No,0,0,0,Businessman,High in Relevance,15,19,Modified,1,85.61673296
API,Google,No,No,1,263,1,Unemployed,Not Sure,14,14,Modified,0,7.85639358
API,Google,No,No,2,1218,2,Unemployed,Unkown,11,15,Modified,0,35.45861025
Lead Add Form,Reference,No,No,3,986,2,Working Professional,High in Relevance,14,19,Modified,1,98.96426395
Lead Add Form,Welingak Website,No,No,3,889,2,Unemployed,Unkown,14,15,Modified,1,79.45201285
Landing Page Submission,Google,No,No,5,1091,5,Unemployed,High in Relevance,13,20,Unreachable,1,64.83847191
Landing Page Submission,Direct Traffic,No,No,4,291,4,Unknown,Unkown,14,16,Modified,0,2.293638573
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,15,16,Modified,1,79.13019639
API,Google,Yes,No,1,1759,1,Unemployed,Unkown,16,15,Olark Chat Conversation,0,72.20426966
Landing Page Submission,Referral Sites,No,No,7,41,3.5,Unknown,Unkown,14,14,Email Opened,0,7.50191721
Landing Page Submission,Google,No,No,5,386,5,Unemployed,Unkown,14,17,Modified,0,5.89801483
API,Referral Sites,No,No,6,216,2,Unknown,Unkown,14,13,Page Visited on Website,0,17.55795137
Landing Page Submission,Google,No,No,5,1603,5,Unemployed,High in Relevance,14,20,Email Opened,1,80.82148031
Landing Page Submission,google,No,No,7,106,3.5,Unknown,Unkown,14,13,Modified,0,3.833566509
API,Google,No,No,2,73,2,Unemployed,Not Sure,12,15,Modified,0,4.590923671
API,Google,No,No,2,77,2,Unemployed,Unkown,13,15,Modified,0,7.239485885
Landing Page Submission,Direct Traffic,No,No,3,718,3,Unknown,Unkown,13,14,Modified,0,5.039695279
Landing Page Submission,Google,No,No,5,432,1.67,Unknown,Unkown,14,18,Olark Chat Conversation,0,11.45502657
Landing Page Submission,Google,No,No,5,232,2.5,Unemployed,Might be,13,16,Email Opened,0,49.49429218
Landing Page Submission,Direct Traffic,No,No,2,702,2,Unemployed,Unkown,14,13,Email Opened,0,20.14316884
Landing Page Submission,Organic Search,No,No,5,614,5,Unemployed,Low in Relevance,15,19,Unreachable,1,71.71506874
